,datetime(yyyy-mm-dd hh),co2_flow(l),Amstel_Utra_tot_volume(l),Amstel_Utra_age_volume(days*l),Carta_Blanca_tot_volume(l),Carta_Blanca_age_volume(days*l),Coors_Light_tot_volume(l),Coors_Light_age_volume(days*l),Miller_tot_volume(l),Miller_age_volume(days*l),Sol_tot_volume(l),Sol_age_volume(days*l),Tecate_tot_volume(l),Tecate_age_volume(days*l),Tecate_Light_tot_volume(l),Tecate_Light_age_volume(days*l),RIZZOS_tot_volume(l),RIZZOS_age_volume(days*l),Bohemia_tot_volume(l),Bohemia_age_volume(days*l),Noche_Buena_tot_volume(l),Noche_Buena_age_volume(days*l)
36,2022-08-10 13,24432.861328125,4100.0,6662.5,6800.0,848583.3333333334,8900.0,32129.166666666668,6800.0,9066.666666666666,20400.0,882016.6666666667,13600.0,41083.333333333336,28100.0,828404.1666666667,0.0,0.0,0.0,0.0,4200.0,1837.5
37,2022-08-10 14,328596.8576660156,4100.0,6833.333333333334,6800.0,848866.6666666666,8900.0,32500.0,6800.0,9350.0,20400.0,882866.6666666666,13600.0,41650.0,28100.0,829575.0,0.0,0.0,0.0,0.0,4200.0,2012.5
38,2022-08-10 15,342990.0185546875,4100.0,7004.166666666666,6800.0,849150.0,8900.0,32870.83333333333,6800.0,9633.333333333334,20400.0,883716.6666666666,13600.0,42216.666666666664,41700.0,831312.5000000001,0.0,0.0,0.0,0.0,4200.0,2187.5
39,2022-08-10 16,311990.21826171875,4100.0,7175.0,6800.0,849433.3333333334,8900.0,33241.66666666667,6800.0,9916.666666666666,20400.0,884566.6666666667,13600.0,42783.333333333336,41700.0,833050.0,0.0,0.0,0.0,0.0,4200.0,2362.5
40,2022-08-10 17,345804.93359375,4100.0,7345.833333333334,6800.0,849716.6666666666,8900.0,33612.5,6800.0,10200.0,20400.0,885416.6666666666,13600.0,43350.0,41700.0,834787.5,0.0,0.0,0.0,0.0,4200.0,2537.5
41,2022-08-10 18,287790.54357910156,4100.0,7516.666666666666,6800.0,850000.0,8900.0,33983.33333333333,6800.0,10483.333333333334,20400.0,886266.6666666666,13600.0,43916.666666666664,41700.0,836525.0000000001,0.0,0.0,0.0,0.0,4200.0,2712.5
42,2022-08-10 19,242756.29516601562,4100.0,7687.5,6800.0,850283.3333333334,8900.0,34354.16666666667,6800.0,10766.666666666666,20400.0,887116.6666666667,13600.0,44483.333333333336,41700.0,838262.5,0.0,0.0,0.0,0.0,4200.0,2887.5
43,2022-08-10 21,7621.2412109375,4100.0,8029.166666666666,6800.0,850850.0,8900.0,35095.833333333336,6800.0,11333.333333333334,20400.0,888816.6666666666,13600.0,45616.66666666667,48500.0,842020.8333333335,0.0,0.0,0.0,0.0,4200.0,3237.5
44,2022-08-10 22,409967.1640625,4100.0,8200.0,6800.0,851133.3333333334,8900.0,35466.666666666664,6800.0,11616.666666666666,20400.0,889666.6666666667,13600.0,46183.333333333336,48500.0,844041.6666666667,0.0,0.0,0.0,0.0,4200.0,3412.5
45,2022-08-10 23,322323.0881347656,4100.0,8370.833333333332,6800.0,851416.6666666666,8900.0,35837.5,6800.0,11900.0,20400.0,890516.6666666666,13600.0,46750.0,48500.0,846062.5,0.0,0.0,0.0,0.0,4200.0,3587.5
46,2022-08-11 00,288381.6520996094,4100.0,8541.666666666668,6800.0,851700.0,8900.0,36208.333333333336,6800.0,12183.333333333334,20400.0,891366.6666666666,13600.0,47316.66666666667,48500.0,848083.3333333335,0.0,0.0,0.0,0.0,4200.0,3762.5
47,2022-08-11 01,309437.09130859375,4100.0,8712.5,6800.0,851983.3333333334,8900.0,36579.166666666664,6800.0,12466.666666666666,20400.0,892216.6666666667,13600.0,47883.333333333336,48500.0,850104.1666666667,0.0,0.0,0.0,0.0,4200.0,3937.5
48,2022-08-11 02,306669.4519042969,4100.0,8883.333333333332,6800.0,852266.6666666666,6800.0,28900.0,6800.0,12750.0,20400.0,893066.6666666666,13600.0,48450.0,48500.0,852125.0,0.0,0.0,0.0,0.0,4200.0,4112.5
49,2022-08-11 03,303119.62646484375,4100.0,9054.166666666668,6800.0,852550.0,6800.0,29183.333333333336,6800.0,13033.333333333334,20400.0,893916.6666666666,6800.0,15866.666666666668,48500.0,854145.8333333335,0.0,0.0,0.0,0.0,4200.0,4287.5
50,2022-08-11 04,168786.7587890625,4100.0,9225.0,6800.0,852833.3333333334,6800.0,29466.666666666664,6800.0,13316.666666666666,20400.0,894766.6666666667,6800.0,16150.0,48500.0,856166.6666666667,0.0,0.0,0.0,0.0,4200.0,4462.5
51,2022-08-11 05,300000.4196777344,4100.0,9395.833333333332,6800.0,853116.6666666666,6800.0,29750.0,6800.0,13600.0,20400.0,895616.6666666666,6800.0,16433.333333333332,48500.0,858187.5,0.0,0.0,0.0,0.0,4200.0,4637.5
52,2022-08-11 06,318934.1491699219,4100.0,9566.666666666668,6800.0,853400.0,6800.0,30033.333333333336,6800.0,13883.333333333332,20400.0,896466.6666666666,6800.0,16716.666666666668,48500.0,860208.3333333335,0.0,0.0,0.0,0.0,4200.0,4812.5
53,2022-08-11 07,306527.6335449219,4100.0,9737.5,6800.0,853683.3333333334,6800.0,30316.666666666664,6800.0,14166.666666666668,20400.0,897316.6666666667,6800.0,17000.0,48500.0,862229.1666666667,0.0,0.0,0.0,0.0,4200.0,4987.5
54,2022-08-11 08,294879.8673095703,4100.0,9908.333333333332,6800.0,853966.6666666666,6800.0,30600.0,6800.0,14450.0,20400.0,898166.6666666666,6800.0,17283.333333333332,48500.0,864250.0,0.0,0.0,0.0,0.0,4200.0,5162.5
55,2022-08-11 09,269704.94299316406,4100.0,10079.166666666668,6800.0,854250.0,6800.0,30883.333333333336,6800.0,14733.333333333332,20400.0,899016.6666666666,6800.0,17566.666666666668,55300.0,866554.1666666667,0.0,0.0,0.0,0.0,4200.0,5337.5
56,2022-08-11 10,282273.5349121094,4100.0,10250.0,6800.0,854533.3333333334,6800.0,31166.666666666664,6800.0,15016.666666666668,20400.0,899866.6666666667,6800.0,17850.0,55300.0,868858.3333333335,0.0,0.0,0.0,0.0,4200.0,5512.5
57,2022-08-11 11,203515.54431152344,4100.0,10420.833333333332,6800.0,854816.6666666666,6800.0,31450.0,6800.0,15300.0,20400.0,900716.6666666666,6800.0,18133.333333333332,55300.0,871162.5,0.0,0.0,0.0,0.0,4200.0,5687.5
